,,Hokuriku,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Hokuriku
4/7/22,22:00,0,2200,1521,0,78,94,12,0,0,0,-607,0,0,3299,23.68
4/7/22,23:00,0,2013,1500,0,78,328,7,0,0,0,-785,0,0,3142,17.68
4/8/22,0:00,0,1711,1474,0,78,596,6,0,0,0,-610,0,0,3255,13.39
4/8/22,1:00,0,1735,1359,0,78,813,4,0,0,0,-604,0,0,3384,11.39
4/8/22,2:00,0,1566,1277,0,78,962,5,-120,0,0,-342,0,0,3426,5.76
4/8/22,3:00,0,1438,1291,0,78,1023,5,-122,0,0,-274,0,0,3438,13.28
4/8/22,4:00,0,1428,1225,0,77,1012,8,-122,0,0,-363,0,0,3265,0.01
4/8/22,5:00,0,1729,1266,0,77,950,7,-20,0,0,-666,0,0,3343,11.46
4/8/22,6:00,0,1846,1274,0,77,824,6,0,0,0,-721,0,0,3305,7.8
4/8/22,7:00,0,1983,1292,0,77,616,4,0,0,0,-730,0,0,3242,11.28
4/8/22,8:00,0,2116,1371,0,78,361,1,0,2,0,-683,0,0,3246,20.41
4/8/22,9:00,0,2171,1431,0,78,119,1,0,89,0,-680,0,0,3209,28.23
4/8/22,10:00,0,2229,1554,0,78,6,4,0,89,0,-672,0,0,3289,31.16
4/8/22,11:00,0,2292,1564,0,78,0,10,0,89,0,-774,0,0,3258,27.23
4/8/22,12:00,0,2213,1463,0,78,0,9,0,89,0,-683,0,0,3169,25.9
4/8/22,13:00,0,2193,1374,0,79,0,12,0,62,0,-630,0,0,3090,26.79
4/8/22,14:00,0,2092,1380,0,78,0,20,0,0,0,-512,0,0,3057,30.63
4/8/22,15:00,0,1982,1374,0,78,0,37,0,0,0,-477,0,0,2993,18.6
4/8/22,16:00,0,1908,1513,0,81,0,55,0,0,0,-656,0,0,2901,19.87
4/8/22,17:00,0,1926,1540,0,81,0,67,0,0,0,-646,0,0,2968,19.94
4/8/22,18:00,0,1951,1537,0,82,0,76,0,0,0,-480,0,0,3165,22.76
4/8/22,19:00,0,1981,1621,0,81,0,82,0,0,0,-473,0,0,3291,22.01
4/8/22,20:00,0,1980,1663,0,81,0,75,0,0,0,-477,0,0,3323,18.34
4/8/22,21:00,0,1978,1567,0,81,9,75,0,0,0,-491,0,0,3218,18.71
