,,Kansai,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Kansai
4/10/22,11:00,2069,8063,1898,0,68,0,39,0,399,1303,0,0,0,13839,22.74
4/10/22,12:00,2069,7856,1800,0,68,0,48,0,192,1392,0,0,0,13425,20.45
4/10/22,13:00,2069,7288,1794,0,68,0,47,-118,0,1663,0,0,0,12812,17.2
4/10/22,14:00,2069,6777,1452,0,68,0,43,-329,0,1975,0,0,0,12055,12.86
4/10/22,15:00,2069,6688,1269,0,68,0,57,-25,0,1485,0,0,0,11612,9.84
4/10/22,16:00,2069,6291,1064,0,68,0,60,0,0,1371,0,0,0,10923,13.64
4/10/22,17:00,2069,6706,1016,0,68,0,62,0,0,805,0,0,0,10726,20.03
4/10/22,18:00,2069,7283,876,0,68,0,54,0,220,753,0,0,0,11323,19.82
4/10/22,19:00,2069,7471,845,0,68,0,48,0,522,832,0,0,0,11856,20.25
4/10/22,20:00,2069,7407,840,0,68,0,50,0,419,1114,0,0,0,11968,19.43
4/10/22,21:00,2069,7090,828,0,68,24,48,0,342,1358,0,0,0,11828,18.54
4/10/22,22:00,2069,6793,837,0,68,451,42,0,185,1545,0,0,0,11992,17.37
4/10/22,23:00,2070,5985,1410,0,68,1301,25,-28,0,2126,0,0,0,12958,14.08
4/11/22,0:00,2069,6346,1638,0,68,2306,18,-160,0,2291,0,0,0,14577,13.42
4/11/22,1:00,2069,6641,1460,0,68,3606,26,-884,0,2655,0,0,0,15640,13.1
4/11/22,2:00,2069,6941,1132,0,68,4678,30,-827,0,1887,0,0,0,15978,9.64
4/11/22,3:00,2068,7382,889,0,68,5004,42,-865,0,1650,0,0,0,16239,11.21
4/11/22,4:00,2068,8204,851,0,68,3703,49,-909,0,1426,0,0,0,15460,8.64
4/11/22,5:00,2068,8079,872,0,68,2323,61,0,292,2012,0,0,0,15776,11.37
4/11/22,6:00,2068,7856,921,0,68,1804,87,0,1117,1805,0,0,0,15726,11.02
