1,2,3,4,5,6,7,8,9
3318,34360,15334,6357,9143,9135,3186,15753,2990
3452,34820,15476,6411,9261,9446,3161,15660,2980
3435,33900,15101,6333,9297,9305,3107,15368,2950
3265,32530,14585,6144,8965,8995,3027,14697,2840
3103,30660,13986,5895,8521,8547,2920,14119,2660
2965,28930,13483,5672,8099,8171,2883,13528,2490
2995,27050,13112,5530,7794,7926,2813,12925,2410
2912,24860,12283,5389,7307,7598,2721,12014,2320
3004,23860,11951,5339,7246,7742,2825,11709,2330
3133,23770,12189,5688,7643,8017,3015,12226,2500
3246,24100,12550,6121,8311,8227,3178,12847,2750
3261,24460,12604,6377,8636,8429,3194,12983,2860
3212,24720,12560,6265,8583,8548,3154,12759,2820
3190,25730,12769,5999,8427,8452,3051,12884,2670
3078,27450,13635,5928,8400,8282,2980,13455,2620
3197,30230,15412,6458,8987,8916,3168,14750,2950
3328,32450,16528,6634,9481,9354,3349,16077,3120
3330,33540,16478,6733,9612,9324,3372,16313,3140
3329,33700,16294,6829,9636,9271,3344,16381,3240
3124,31990,15269,6497,9328,8850,3199,15779,3100
3219,32540,16242,6837,9704,9270,3357,16665,3250
3156,32200,16372,6828,9515,9273,3374,16788,3260
3137,31900,16207,6796,9282,9151,3324,16712,3230
3258,32360,16321,6893,9459,9119,3320,16889,3230
3285,32580,16138,6837,9573,9026,3237,16665,3130
3393,33120,15991,6835,9805,9290,3252,16412,3160
3403,32140,15321,6575,9618,9024,3158,15773,3050
3209,30870,14743,6331,9227,8657,3046,15053,2920
3052,29270,14119,6024,8758,8210,2927,14445,2730
2943,27880,13669,5629,8390,7890,2875,13734,2540
2924,26290,13227,5409,8002,7623,2781,13110,2460
2876,24430,12368,5194,7476,7349,2719,12188,2340
2953,23600,12045,5159,7365,7425,2776,11796,2370
3067,23690,12210,5602,7842,7693,2965,12280,2550
3195,23840,12470,6100,8472,7918,3136,12878,2770
3200,23890,12486,6320,8795,8030,3138,12918,2870
3186,24200,12380,6265,8718,8061,3056,12720,2840
3143,25060,12636,6198,8332,8060,2983,13053,2710
3182,26330,13521,6040,7931,8129,3018,13939,2640
3408,29370,15257,6324,8105,8780,3286,15249,2930
3587,31980,16361,6557,8771,9316,3462,16230,3120
3575,33320,16562,6585,9082,9268,3517,16580,3170
